heading_id,description,guide,guide_id,fqcc,sid
2206,"Other fermented beverages (for example, cider, perry, mead); mixtures of fermented beverages and mixtures of fermented beverages and non-alcoholic beverages, not elsewhere specified or included","Herbal medicines, tonics and supplements",9,2206000000,34948
2208,"Undenatured ethyl alcohol of an alcoholic strength by volume of less than 80 % vol; spirits, liqueurs and other spirituous beverages","Herbal medicines, tonics and supplements",9,2208000000,34981
2309,Preparations of a kind used in animal feeding,"Herbal medicines, tonics and supplements",9,2309000000,35187
2401,Unmanufactured tobacco; tobacco refuse,Tobacco and manufactured tobacco substitutes,19,2401000000,35247
2402,"Cigars, cheroots, cigarillos and cigarettes, of tobacco or of tobacco substitutes",Tobacco and manufactured tobacco substitutes,19,2402000000,35283
2403,Other manufactured tobacco and manufactured tobacco substitutes; 'homogenised' or 'reconstituted' tobacco; tobacco extracts and essences,Tobacco and manufactured tobacco substitutes,19,2403000000,35287
2404,"Products containing tobacco, reconstituted tobacco, nicotine, or tobacco or nicotine substitutes, intended for inhalation without combustion; other nicotine containing products intended for the intake of nicotine into the human body",Tobacco and manufactured tobacco substitutes,19,2404000000,106659
2901,Acyclic hydrocarbons,Organic chemicals,13,2901000000,36169
2901,"I. HYDROCARBONS AND THEIR HALOGENATED, SULPHONATED, NITRATED OR NITROSATED DERIVATIVES",Organic chemicals,13,2901000000,36169
2902,Cyclic hydrocarbons,Organic chemicals,13,2902000000,36186
2903,Halogenated derivatives of hydrocarbons,Organic chemicals,13,2903000000,36225
2904,"Sulphonated, nitrated or nitrosated derivatives of hydrocarbons, whether or not halogenated",Organic chemicals,13,2904000000,36312
2905,"Acyclic alcohols and their halogenated, sulphonated, nitrated or nitrosated derivatives",Organic chemicals,13,2905000000,36338
2905,"II. ALCOHOLS AND THEIR HALOGENATED, SULPHONATED, NITRATED OR NITROSATED DERIVATIVES",Organic chemicals,13,2905000000,36338
2906,"Cyclic alcohols and their halogenated, sulphonated, nitrated or nitrosated derivatives",Organic chemicals,13,2906000000,36399
2907,"III. PHENOLS, PHENOL-ALCOHOLS, AND THEIR HALOGENATED, SULPHONATED, NITRATED OR NITROSATED DERIVATIVES",Organic chemicals,13,2907000000,36415
2907,Phenols; phenol-alcohols,Organic chemicals,13,2907000000,36415
2908,"Halogenated, sulphonated, nitrated or nitrosated derivatives of phenols or phenol-alcohols",Organic chemicals,13,2908000000,36452
2909,"Ethers, ether-alcohols, ether-phenols, ether-alcohol-phenols, alcohol peroxides, ether peroxides, ketone peroxides (whether or not chemically defined), and their halogenated, sulphonated, nitrated or nitrosated derivatives",Organic chemicals,13,2909000000,36464
2909,"IV. ETHERS, ALCOHOL PEROXIDES, ETHER PEROXIDES, KETONE PEROXIDES, EPOXIDES WITH A THREE-MEMBERED RING, ACETALS AND HEMIACETALS, AND THEIR HALOGENATED, SULPHONATED, NITRATED OR NITROSATED DERIVATIVES",Organic chemicals,13,2909000000,36464
2910,"Epoxides, epoxyalcohols, epoxyphenols and epoxyethers, with a three-membered ring, and their halogenated, sulphonated, nitrated or nitrosated derivatives",Organic chemicals,13,2910000000,36508
2911,"Acetals and hemiacetals, whether or not with other oxygen function, and their halogenated, sulphonated, nitrated or nitrosated derivatives",Organic chemicals,13,2911000000,36518
2912,"Aldehydes, whether or not with other oxygen function; cyclic polymers of aldehydes; paraformaldehyde",Organic chemicals,13,2912000000,36519
2912,V. ALDEHYDE-FUNCTION COMPOUNDS,Organic chemicals,13,2912000000,36519
2913,"Halogenated, sulphonated, nitrated or nitrosated derivatives of products of heading 2912",Organic chemicals,13,2913000000,36538
2914,"Ketones and quinones, whether or not with other oxygen function, and their halogenated, sulphonated, nitrated or nitrosated derivatives",Organic chemicals,13,2914000000,36539
2914,VI. KETONE-FUNCTION COMPOUNDS AND QUINONE-FUNCTION COMPOUNDS,Organic chemicals,13,2914000000,36539
2915,"Saturated acyclic monocarboxylic acids and their anhydrides, halides, peroxides and peroxyacids; their halogenated, sulphonated, nitrated or nitrosated derivatives",Organic chemicals,13,2915000000,36586
2915,"VII. CARBOXYLIC ACIDS AND THEIR ANHYDRIDES, HALIDES, PEROXIDES AND PEROXYACIDS AND THEIR HALOGENATED, SULPHONATED, NITRATED OR NITROSATED DERIVATIVES",Organic chemicals,13,2915000000,36586
2916,"Unsaturated acyclic monocarboxylic acids, cyclic monocarboxylic acids, their anhydrides, halides, peroxides and peroxyacids; their halogenated, sulphonated, nitrated or nitrosated derivatives",Organic chemicals,13,2916000000,36644
2917,"Polycarboxylic acids, their anhydrides, halides, peroxides and peroxyacids; their halogenated, sulphonated, nitrated or nitrosated derivatives",Organic chemicals,13,2917000000,36694
2918,"Carboxylic acids with additional oxygen function and their anhydrides, halides, peroxides and peroxyacids; their halogenated, sulphonated, nitrated or nitrosated derivatives",Organic chemicals,13,2918000000,36744
2919,"Phosphoric esters and their salts, including lactophosphates; their halogenated, sulphonated, nitrated or nitrosated derivatives",Organic chemicals,13,2919000000,36796
2919,"VIII. ESTERS OF INORGANIC ACIDS OF NON-METALS AND THEIR SALTS, AND THEIR HALOGENATED, SULPHONATED, NITRATED OR NITROSATED DERIVATIVES",Organic chemicals,13,2919000000,36796
2920,"Esters of other inorganic acids of non-metals (excluding esters of hydrogen halides) and their salts; their halogenated, sulphonated, nitrated or nitrosated derivatives",Organic chemicals,13,2920000000,36808
2921,Amine-function compounds,Organic chemicals,13,2921000000,36825
2921,IX. NITROGEN-FUNCTION COMPOUNDS,Organic chemicals,13,2921000000,36825
2922,Oxygen-function amino-compounds,Organic chemicals,13,2922000000,36896
2923,"Quaternary ammonium salts and hydroxides; lecithins and other phosphoaminolipids, whether or not chemically defined",Organic chemicals,13,2923000000,36961
2924,Carboxyamide-function compounds; amide-function compounds of carbonic acid,Organic chemicals,13,2924000000,36969
2925,Carboxyimide-function compounds (including saccharin and its salts) and imine-function compounds,Organic chemicals,13,2925000000,36995
2926,Nitrile-function compounds,Organic chemicals,13,2926000000,37012
2927,"Diazo-, azo- or azoxy-compounds",Organic chemicals,13,2927000000,37029
2928,Organic derivatives of hydrazine or of hydroxylamine,Organic chemicals,13,2928000000,37033
2929,Compounds with other nitrogen function,Organic chemicals,13,2929000000,37042
2930,Organo-sulphur compounds,Organic chemicals,13,2930000000,37062
2930,"X. ORGANO-INORGANIC COMPOUNDS, HETEROCYCLIC COMPOUNDS, NUCLEIC ACIDS AND THEIR SALTS, AND SULPHONAMIDES",Organic chemicals,13,2930000000,37062
2931,Other organo-inorganic compounds,Organic chemicals,13,2931000000,37096
2932,Heterocyclic compounds with oxygen hetero-atom(s) only,Organic chemicals,13,2932000000,37122
2933,Heterocyclic compounds with nitrogen hetero-atom(s) only,Organic chemicals,13,2933000000,37193
2934,"Nucleic acids and their salts, whether or not chemically defined; other heterocyclic compounds",Organic chemicals,13,2934000000,37349
2935,Sulphonamides,Organic chemicals,13,2935000000,37418
2936,"Provitamins and vitamins, natural or reproduced by synthesis (including natural concentrates), derivatives thereof used primarily as vitamins, and intermixtures of the foregoing, whether or not in any solvent",Organic chemicals,13,2936000000,37432
2936,"XI. PROVITAMINS, VITAMINS AND HORMONES",Organic chemicals,13,2936000000,37432
2937,"Hormones, prostaglandins, thromboxanes and leukotrienes, natural or reproduced by synthesis; derivatives and structural analogues thereof, including chain modified polypeptides, used primarily as hormones",Organic chemicals,13,2937000000,37461
2938,"Glycosides, natural or reproduced by synthesis, and their salts, ethers, esters and other derivatives",Organic chemicals,13,2938000000,37495
2938,"XII. GLYCOSIDES AND ALKALOIDS, NATURAL OR REPRODUCED BY SYNTHESIS, AND THEIR SALTS, ETHERS, ESTERS AND OTHER DERIVATIVES",Organic chemicals,13,2938000000,37495
2939,"Alkaloids, natural or reproduced by synthesis, and their salts, ethers, esters and other derivatives",Organic chemicals,13,2939000000,37502
2940,"Sugars, chemically pure, other than sucrose, lactose, maltose, glucose and fructose; sugar ethers, sugar acetals and sugar esters, and their salts, other than products of heading 2937, 2938 or 2939",Organic chemicals,13,2940000000,37533
2940,XIII. OTHER ORGANIC COMPOUNDS,Organic chemicals,13,2940000000,37533
2941,Antibiotics,Organic chemicals,13,2941000000,37541
2942,Other organic compounds,Organic chemicals,13,2942000000,37613
3003,"Medicaments (excluding goods of heading 3002, 3005 or 3006) consisting of two or more constituents which have been mixed together for therapeutic or prophylactic uses, not put up in measured doses or in forms or packings for retail sale",Pharmaceutical products,14,3003000000,37661
3004,"Medicaments (excluding goods of heading 3002, 3005 or 3006) consisting of mixed or unmixed products for therapeutic or prophylactic uses, put up in measured doses (including those in the form of transdermal administration systems) or in forms or packings for retail sale",Pharmaceutical products,14,3004000000,37684
3005,"Wadding, gauze, bandages and similar articles (for example, dressings, adhesive plasters, poultices), impregnated or coated with pharmaceutical substances or put up in forms or packings for retail sale for medical, surgical, dental or veterinary purposes",Pharmaceutical products,14,3005000000,37744
3006,Pharmaceutical goods specified in note 4 to this chapter,Pharmaceutical products,14,3006000000,37760
3215,"Printing ink, writing or drawing ink and other inks, whether or not concentrated or solid",Computers and software,4,3215000000,37955
3401,"Soap; organic surface-active products and preparations for use as soap, in the form of bars, cakes, moulded pieces or shapes, whether or not containing soap; organic surface-active products and preparations for washing the skin, in the form of liquid or cream and put up for retail sale, whether or not containing soap; paper, wadding, felt and nonwovens, impregnated, coated or covered with soap or detergent",Pharmaceutical products,14,3401000000,38055
3707,"Chemical preparations for photographic uses (other than varnishes, glues, adhesives and similar preparations); unmixed products for photographic uses, put up in measured portions or put up for retail sale in a form ready for use",Computers and software,4,3707000000,38313
3824,"Prepared binders for foundry moulds or cores; chemical products and preparations of the chemical or allied industries (including those consisting of mixtures of natural products), not elsewhere specified or included",Pharmaceutical products,14,3824000000,59671
3901,I. PRIMARY FORMS,Plastics,16,3901000000,38660
3901,"Polymers of ethylene, in primary forms",Plastics,16,3901000000,38660
3902,"Polymers of propylene or of other olefins, in primary forms",Plastics,16,3902000000,38687
3903,"Polymers of styrene, in primary forms",Plastics,16,3903000000,38704
3904,"Polymers of vinyl chloride or of other halogenated olefins, in primary forms",Plastics,16,3904000000,38720
3905,"Polymers of vinyl acetate or of other vinyl esters, in primary forms; other vinyl polymers in primary forms",Plastics,16,3905000000,38757
3906,Acrylic polymers in primary forms,Plastics,16,3906000000,38774
3907,"Polyacetals, other polyethers and epoxide resins, in primary forms; polycarbonates, alkyd resins, polyallyl esters and other polyesters, in primary forms",Plastics,16,3907000000,38789
3908,Polyamides in primary forms,Plastics,16,3908000000,38838
3909,"Amino-resins, phenolic resins and polyurethanes, in primary forms",Plastics,16,3909000000,38843
3910,Silicones in primary forms,Plastics,16,3910000000,38853
3911,"Petroleum resins, coumarone-indene resins, polyterpenes, polysulphides, polysulphones and other products specified in note 3 to this chapter, not elsewhere specified or included, in primary forms",Plastics,16,3911000000,38854
3912,"Cellulose and its chemical derivatives, not elsewhere specified or included, in primary forms",Plastics,16,3912000000,38872
3913,"Natural polymers (for example, alginic acid) and modified natural polymers (for example, hardened proteins, chemical derivatives of natural rubber), not elsewhere specified or included, in primary forms",Plastics,16,3913000000,38902
3914,"Ion-exchangers based on polymers of headings 3901 to 3913, in primary forms",Plastics,16,3914000000,38917
3915,"II. WASTE, PARINGS AND SCRAP; SEMI-MANUFACTURES; ARTICLES",Plastics,16,3915000000,38920
3915,"Waste, parings and scrap, of plastics",Plastics,16,3915000000,38920
3916,"Monofilament of which any cross-sectional dimension exceeds 1 mm, rods, sticks and profile shapes, whether or not surface-worked but not otherwise worked, of plastics",Plastics,16,3916000000,38940
3917,"Tubes, pipes and hoses, and fittings therefor (for example, joints, elbows, flanges), of plastics",Plastics,16,3917000000,38970
3918,"Floor coverings of plastics, whether or not self-adhesive, in rolls or in the form of tiles; wall or ceiling coverings of plastics, as defined in note 9 to this chapter",Plastics,16,3918000000,39073
3919,"Self-adhesive plates, sheets, film, foil, tape, strip and other flat shapes, of plastics, whether or not in rolls",Plastics,16,3919000000,39084
3920,"Other plates, sheets, film, foil and strip, of plastics, non-cellular and not reinforced, laminated, supported or similarly combined with other materials",Plastics,16,3920000000,39155
3921,"Other plates, sheets, film, foil and strip, of plastics",Plastics,16,3921000000,39406
3922,"Baths, shower-baths, wash-basins, bidets, lavatory pans, seats and covers, flushing cisterns and similar sanitary ware, of plastics",Plastics,16,3922000000,39478
3923,"Articles for the conveyance or packing of goods, of plastics; stoppers, lids, caps and other closures, of plastics",Plastics,16,3923000000,39482
3924,"Tableware, kitchenware, other household articles and hygienic or toilet articles, of plastics",Plastics,16,3924000000,39501
3925,"Builders' ware of plastics, not elsewhere specified or included",Plastics,16,3925000000,39508
3926,Other articles of plastics and articles of other materials of headings 3901 to 3914,Plastics,16,3926000000,39517
4017,"Hard rubber (for example, ebonite) in all forms, including waste and scrap; articles of hard rubber",Aircraft parts,1,4017000000,39704
4101,"Raw hides and skins of bovine or equine animals (fresh, or salted, dried, limed, pickled or otherwise preserved, but not tanned, parchment-dressed or further prepared), whether or not dehaired or split",Leather,11,4101000000,39712
4102,"Raw skins of sheep or lambs (fresh, or salted, dried, limed, pickled or otherwise preserved, but not tanned, parchment-dressed or further prepared), whether or not with wool on or split, other than those excluded by note 1(c) to this chapter",Leather,11,4102000000,39724
4103,"Other raw hides and skins (fresh, or salted, dried, limed, pickled or otherwise preserved, but not tanned, parchment-dressed or further prepared), whether or not dehaired or split, other than those excluded by note 1(b) or 1(c) to this chapter",Leather,11,4103000000,39731
4104,"Leather of bovine or equine animals, without hair on, other than leather of heading No 4108 or 4109",Leather,11,4104000000,39737
4105,"Tanned or crust skins of sheep or lambs, without wool on, whether or not split, but not further prepared",Leather,11,4105000000,39767
4106,"Tanned or crust hides and skins of other animals, without wool or hair on, whether or not split, but not further prepared",Leather,11,4106000000,39781
4107,"Leather further prepared after tanning or crusting, including parchment-dressed leather, of bovine (including buffalo) or equine animals, without hair on, whether or not split, other than leather of heading 4114",Leather,11,4107000000,39789
4112,"Leather further prepared after tanning or crusting, including parchment-dressed leather, of sheep or lamb, without wool on, whether or not split, other than leather of heading 4114",Leather,11,4112000000,73675
4113,"Leather further, prepared after tanning or crusting, including parchment-dressed leather, of other animals, without wool or hair on, whether or not split, other than leather of heading 4114",Leather,11,4113000000,73676
4114,Chamois (including combination chamois) leather; patent leather and patent laminated leather; metallised leather,Leather,11,4114000000,73682
4115,"Composition leather with a basis of leather or leather fibre, in slabs, sheets or strip, whether or not in rolls; parings and other waste of leather or of composition leather, not suitable for the manufacture of leather articles; leather dust, powder and flour",Leather,11,4115000000,73687
4201,"Saddlery and harness for any animal (including traces, leads, knee pads, muzzles, saddle-cloths, saddlebags, dog coats and the like), of any material",Leather,11,4201000000,39808
4202,"Trunks, suitcases, vanity cases, executive-cases, briefcases, school satchels, spectacle cases, binocular cases, camera cases, musical instrument cases, gun cases, holsters and similar containers; travelling-bags, insulated food or beverages bags, toilet bags, rucksacks, handbags, shopping-bags, wallets, purses, map-cases, cigarette-cases, tobacco-pouches, tool bags, sports bags, bottle-cases, jewellery boxes, powder boxes, cutlery cases and similar containers, of leather or of composition leather, of sheeting of plastics, of textile materials, of vulcanised fibre or of paperboard, or wholly or mainly covered with such materials or with paper",Leather,11,4202000000,39809
4203,"Articles of apparel and clothing accessories, of leather or of composition leather",Leather,11,4203000000,39904
4205,Other articles of leather or of composition leather,Leather,11,4205000000,39922
4206,"Articles of gut (other than silkworm gut), of goldbeater's skin, of bladders or of tendons",Leather,11,4206000000,39923
4401,"Fuel wood, in logs, in billets, in twigs, in faggots or in similar forms; wood in chips or particles; sawdust and wood waste and scrap, whether or not agglomerated in logs, briquettes, pellets or similar forms",Wood,22,4401000000,39989
4402,"Wood charcoal (including shell or nut charcoal), whether or not agglomerated",Wood,22,4402000000,39997
4403,"Wood in the rough, whether or not stripped of bark or sapwood, or roughly squared",Wood,22,4403000000,39998
4404,"Hoopwood; split poles; piles, pickets and stakes of wood, pointed but not sawn lengthwise; wooden sticks, roughly trimmed but not turned, bent or otherwise worked, suitable for the manufacture of walking sticks, umbrellas, tool handles or the like; chipwood and the like",Wood,22,4404000000,40028
4405,Wood wool; wood flour,Wood,22,4405000000,40031
4406,Railway or tramway sleepers (cross-ties) of wood,Wood,22,4406000000,40032
4407,"Wood sawn or chipped lengthwise, sliced or peeled, whether or not planed, sanded or end-jointed, of a thickness exceeding 6 mm",Wood,22,4407000000,40035
4408,"Sheets for veneering (including those obtained by slicing laminated wood), for plywood or for similar laminated wood and other wood, sawn lengthwise, sliced or peeled, whether or not planed, sanded, spliced or end-jointed, of a thickness not exceeding 6 mm",Wood,22,4408000000,40118
4409,"Wood (including strips and friezes for parquet flooring, not assembled) continuously shaped (tongued, grooved, rebated, chamfered, V-jointed, beaded, moulded, rounded or the like) along any of its edges or faces, whether or not planed, sanded or finger-jointed",Wood,22,4409000000,40154
4410,"Particle board, oriented strand board (OSB) and similar board (for example, waferboard) of wood or other ligneous materials, whether or not agglomerated with resins or other organic binding substances",Wood,22,4410000000,40169
4411,"Fibreboard of wood or other ligneous materials, whether or not bonded with resins or other organic substances",Wood,22,4411000000,40178
4412,"Plywood, veneered panels and similar laminated wood",Wood,22,4412000000,40191
4413,"Densified wood, in blocks, plates, strips or profile shapes",Wood,22,4413000000,40216
4414,"Wooden frames for paintings, photographs, mirrors or similar objects",Wood,22,4414000000,40217
4415,"Packing cases, boxes, crates, drums and similar packings, of wood; cable-drums of wood; pallets, box pallets and other load boards, of wood; pallet collars of wood",Wood,22,4415000000,40222
4416,"Casks, barrels, vats, tubs and other coopers' products and parts thereof, of wood, including staves",Wood,22,4416000000,40229
4417,"Tools, tool bodies, tool handles, broom or brush bodies and handles, of wood; boot or shoe lasts and trees, of wood",Wood,22,4417000000,40234
4418,"Builders' joinery and carpentry of wood, including cellular wood panels, assembled flooring panels, shingles and shakes",Wood,22,4418000000,40237
4419,"Tableware and kitchenware, of wood",Wood,22,4419000000,40255
4420,"Wood marquetry and inlaid wood; caskets and cases for jewellery or cutlery, and similar articles, of wood; statuettes and other ornaments, of wood; wooden articles of furniture not falling in Chapter 94",Wood,22,4420000000,40265
4421,Other articles of wood,Wood,22,4421000000,40304
4501,"Natural cork, raw or simply prepared; waste cork; crushed, granulated or ground cork",Wood,22,4501000000,40316
4502,"Natural cork, debacked or roughly squared, or in rectangular (including square) blocks, plates, sheets or strip (including sharp-edged blanks for corks or stoppers)",Wood,22,4502000000,40319
4503,Articles of natural cork,Wood,22,4503000000,40320
4504,Agglomerated cork (with or without a binding substance) and articles of agglomerated cork,Wood,22,4504000000,40325
4601,"Plaits and similar products of plaiting materials, whether or not assembled into strips; plaiting materials, plaits and similar products of plaiting materials, bound together in parallel strands or woven, in sheet form, whether or not being finished articles (for example, mats, matting, screens)",Wood,22,4601000000,40340
4602,"Basketwork, wickerwork and other articles, made directly to shape from plaiting materials or made up from goods of heading 4601; articles of loofah",Wood,22,4602000000,40354
4701,Mechanical wood pulp,Wood,22,4701000000,40364
4702,"Chemical wood pulp, dissolving grades",Wood,22,4702000000,40367
4703,"Chemical wood pulp, soda or sulphate, other than dissolving grades",Wood,22,4703000000,40368
4704,"Chemical wood pulp, sulphite, other than dissolving grades",Wood,22,4704000000,40375
4705,Wood pulp obtained by a combination of mechanical and chemical pulping processes,Wood,22,4705000000,40382
4706,Pulps of fibres derived from recovered (waste and scrap) paper or paperboard or of other fibrous cellulosic material,Wood,22,4706000000,40383
4707,Recovered (waste and scrap) paper or paperboard,Wood,22,4707000000,40391
4903,"Children's picture, drawing or colouring books","Toys, games and sports equipment",20,4903000000,40809
5001,Silkworm cocoons suitable for reeling,Textiles and textile articles,18,5001000000,40857
5002,Raw silk (not thrown),Textiles and textile articles,18,5002000000,40858
5003,"Silk waste (including cocoons unsuitable for reeling, yarn waste and garnetted stock)",Textiles and textile articles,18,5003000000,40859
5004,Silk yarn (other than yarn spun from silk waste) not put up for retail sale,Textiles and textile articles,18,5004000000,40862
5005,"Yarn spun from silk waste, not put up for retail sale",Textiles and textile articles,18,5005000000,40869
5006,"Silk yarn and yarn spun from silk waste, put up for retail sale; silkworm gut",Textiles and textile articles,18,5006000000,40876
5007,Woven fabrics of silk or of silk waste,Textiles and textile articles,18,5007000000,40879
5101,"Wool, not carded or combed",Textiles and textile articles,18,5101000000,40953
5102,"Fine or coarse animal hair, not carded or combed",Textiles and textile articles,18,5102000000,40961
5103,"Waste of wool or of fine or coarse animal hair, including yarn waste but excluding garnetted stock",Textiles and textile articles,18,5103000000,40968
5104,Garnetted stock of wool or of fine or coarse animal hair,Textiles and textile articles,18,5104000000,40978
5105,"Wool and fine or coarse animal hair, carded or combed (including combed wool in fragments)",Textiles and textile articles,18,5105000000,40979
5106,"Yarn of carded wool, not put up for retail sale",Textiles and textile articles,18,5106000000,40988
5107,"Yarn of combed wool, not put up for retail sale",Textiles and textile articles,18,5107000000,40999
5108,"Yarn of fine animal hair (carded or combed), not put up for retail sale",Textiles and textile articles,18,5108000000,41014
5109,"Yarn of wool or of fine animal hair, put up for retail sale",Textiles and textile articles,18,5109000000,41021
5110,"Yarn of coarse animal hair or of horsehair (including gimped horsehair yarn), whether or not put up for retail sale",Textiles and textile articles,18,5110000000,41028
5111,Woven fabrics of carded wool or of carded fine animal hair,Textiles and textile articles,18,5111000000,41029
5112,Woven fabrics of combed wool or of combed fine animal hair,Textiles and textile articles,18,5112000000,41046
5113,Woven fabrics of coarse animal hair or of horsehair,Textiles and textile articles,18,5113000000,41063
5201,"Cotton, not carded or combed",Textiles and textile articles,18,5201000000,41065
5202,Cotton waste (including yarn waste and garnetted stock),Textiles and textile articles,18,5202000000,41068
5203,"Cotton, carded or combed",Textiles and textile articles,18,5203000000,41073
5204,"Cotton sewing thread, whether or not put up for retail sale",Textiles and textile articles,18,5204000000,41074
5205,"Cotton yarn (other than sewing thread), containing 85 % or more by weight of cotton, not put up for retail sale",Textiles and textile articles,18,5205000000,41079
5206,"Cotton yarn (other than sewing thread), containing less than 85 % by weight of cotton, not put up for retail sale",Textiles and textile articles,18,5206000000,41114
5207,Cotton yarn (other than sewing thread) put up for retail sale,Textiles and textile articles,18,5207000000,41147
5208,"Woven fabrics of cotton, containing 85 % or more by weight of cotton, weighing not more than 200 g/m<sup>2</sup>",Textiles and textile articles,18,5208000000,41150
5209,"Woven fabrics of cotton, containing 85 % or more by weight of cotton, weighing more than 200 g/m<sup>2</sup>",Textiles and textile articles,18,5209000000,41320
5210,"Woven fabrics of cotton, containing less than 85 % by weight of cotton, mixed mainly or solely with man-made fibres, weighing not more than 200 g/m<sup>2</sup>",Textiles and textile articles,18,5210000000,41390
5211,"Woven fabrics of cotton, containing less than 85 % by weight of cotton, mixed mainly or solely with man-made fibres, weighing more than 200 g/m<sup>2</sup>",Textiles and textile articles,18,5211000000,41453
5212,Other woven fabrics of cotton,Textiles and textile articles,18,5212000000,41515
5301,"Flax, raw or processed but not spun; flax tow and waste (including yarn waste and garnetted stock)",Textiles and textile articles,18,5301000000,41606
5302,"True hemp (Cannabis sativa L.), raw or processed but not spun; tow and waste of true hemp (including yarn waste and garnetted stock)",Textiles and textile articles,18,5302000000,41614
5303,"Jute and other textile bast fibres (excluding flax, true hemp and ramie), raw or processed but not spun; tow and waste of these fibres (including yarn waste and garnetted stock)",Textiles and textile articles,18,5303000000,41619
5305,"Coconut, abaca (Manila hemp or Musa textilis Nee), ramie and other vegetable textile fibres, not elsewhere specified or included, raw or processed but not spun; tow, noils and waste of these fibres (including yarn waste and garnetted stock)",Textiles and textile articles,18,5305000000,41625
5306,Flax yarn,Textiles and textile articles,18,5306000000,41635
5307,Yarn of jute or of other textile bast fibres of heading 5303,Textiles and textile articles,18,5307000000,41655
5308,Yarn of other vegetable textile fibres; paper yarn,Textiles and textile articles,18,5308000000,41660
